##NPOINTS=212
formula  m/z  intensity
H8C6N3                      122.071823   49.45
H7C6N3                      123.058067    0.03
H7C6N3                      123.064384    0.44
H7C6N3                      123.064392    0.04
H7C6N3                      123.067307    0.01
H8C6N3                      123.068855    0.54
H7C6N3                      123.070709    1.14
H7C6N3                      123.073631    0.04
H8C6N3                      123.075180    3.22
H8C6N3                      123.078102    0.04
H7C6N3                      124.061417    0.01
H7C6N3                      124.067741    0.04
H8C6N3                      124.072212    0.04
H7C6N3                      124.074066    0.01
H8C6N3                      124.075134    0.00
H8C6N3                      124.078537    0.11
H8C6N3                      124.081459    0.00
H8C6N3                      125.075569    0.00
##END=
